Spring 2025: Waterloo Final Examination Schedule,,,,,,
students.wlu.ca/academics/exams/assets/resources/spring-exam-schedule-waterloo.html,,,,,,
Course,Section,Date,Time,Rooms,,
BU398,B9 (Marium) Student last names D - Z,"Friday, Aug.",3:30,LH2066
,,1,p.m.,
BU408,H,"Friday, Aug.",7 p.m.,LH1009
,,8,,
BU413,H,"Monday, Aug.",3:30,SB106
,,11,p.m.,
BU415,"S, T, V","Tuesday, Aug.",3:30,LH2066
,,12,p.m.,
BU419,H,"Tuesday, Aug.",8:30,LH2066
,,5,a.m.,
BU423,"H, J","Wednesday,",3:30,LH3094
,,Aug. 13,p.m.,
BU430,"H, J","Tuesday, Aug.",Noon,LH3094
,,5,,
BU433,H,"Wednesday,",7 p.m.,LH1010
,,Aug. 06,,
,,,,4/9
Course,Section,Date,Time,Rooms
BU442,A,"Wednesday,",3:30,LH2064
,,Aug. 06,p.m.,
BU449,H,"Saturday, Aug.",8:30,LH2066
,,9,a.m.,
BU463,H,"Thursday,",3:30,LH1009
,,Aug. 14,p.m.,
BU466,"H, J","Saturday, Aug.",3:30,LH3094
,,9,p.m.,
BU467,"H, J","Friday, Aug.",8:30,LH3094
,,8,a.m.,
BU473,H,"Friday, Aug.",3:30,SB106
,,8,p.m.,
BU473,J,"Friday, Aug.",3:30,SB107
,,8,p.m.,
BU474,H,"Friday, Aug.",7 p.m.,LH2064
,,1,,
BU477,"H, J","Wednesday,",8:30,LH1009
,,Aug. 13,a.m.,
BU481,"T, V, X","Thursday,",Noon,LH3094
,,Aug. 07,,
BU486,H,"Monday, Aug.",3:30,LH1009
,,11,p.m.,
BU486,J (Student last names A - G),"Monday, Aug.",3:30,LH1009
,,11,p.m.,
BU486,J (Student last names H - Z),"Monday, Aug.",3:30,LH2066
,,11,p.m.,
BU487,"H, J","Tuesday, Aug.",8:30,LH3094
,,5,a.m.,
BU517,"CE, CF","Friday, Aug.",8:30,LH1009
,,8,a.m.,
BU527,"CE, CF","Wednesday,",Noon,LH1009
,,Aug. 06,,
BU557,"CE, CF","Friday, Aug.",Noon,LH1009
,,1,,
,,,,5/9
Course,Section,Date,Time,Rooms
CH111,A,"Thursday,",8:30,LH3094
,,Aug. 07,a.m.,
CH203,A,"Tuesday, Aug.",3:30,SB103
,,12,p.m.,
CH205,A,"Tuesday, Aug.",3:30,SB103
